"filename", "language", "JavaScript", "Rust", "YAML", "JavaScript JSX", "JSON", "Ignore", "PostCSS", "Diff", "XML", "HTML", "comment", "blank", "total"
"h:\tools\cyclemetry\app\src\features\scene-settings\utils\sceneSettingsUtils.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 44
"h:\tools\cyclemetry\app\src\features\template-manager\components\NewTemplateConfirmDialog.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 12, 5, 55
"h:\tools\cyclemetry\app\src\features\template-manager\hooks\useCommunityTemplate.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 61
"h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateFetching.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 34
"h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateManagement.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 35, 303
"h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateSaveStatus.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 59
"h:\tools\cyclemetry\app\src\features\template-manager\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"h:\tools\cyclemetry\app\src\features\template-manager\utils\templateFileUtils.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 28
"h:\tools\cyclemetry\app\src\features\template-manager\utils\templateSnapshot.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 14, 121
"h:\tools\cyclemetry\app\src\features\video-preview\data\videoPreviewConstants.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 35
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoImport.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 122
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPlaybackClock.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 36, 218
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPreview.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 159
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPreviewWarnings.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 40, 228
"h:\tools\cyclemetry\app\src\features\video-preview\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 9
"h:\tools\cyclemetry\app\src\features\video-preview\utils\videoPreviewPlayback.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 18, 120
"h:\tools\cyclemetry\app\src\features\video-preview\utils\videoPreviewScrubScheduler.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 63
